error_type,sentence_a,sentence_b,true_label,predicted_label,ml_probability,rule_score,word_tfidf,char_ngram_tfidf,normalized_jaccard,edit_similarity,negation_mismatch,opposite_mismatch,tokens_a,tokens_b
FP_误判为相似,珍珠鸟的阅读,《珍珠鸟》阅读题，急、,0,1,0.2833,0.6359,0.7474,0.2543,0.7143,0.4545,False,False,珍 / 珠 / 鸟 / 阅 / 读,珍 / 珠 / 鸟 / 阅 / 读 / 题 / 急
FN_漏判相似,淘宝实物怎么刷啊,在淘宝做实物店怎么做？,1,0,0.0923,0.4603,0.4774,0.1136,0.6,0.5455,False,False,淘 / 宝 / 实 / 物 / 怎 / 么 / 刷 / 啊,淘 / 宝 / 完成 / 实 / 物 / 餐厅 / 怎 / 么 / 完成
FP_误判为相似,海浪什么就像什么,海浪什么什么,0,1,0.3711,0.7338,0.8466,0.4589,0.6667,0.75,False,False,海 / 浪 / 什 / 么 / 就 / 像 / 什 / 么,海 / 浪 / 什 / 么 / 什 / 么
FP_误判为相似,这里有开封大学的吗,开封大学好吗,0,1,0.1749,0.5702,0.6328,0.2798,0.625,0.5556,False,False,里 / 有 / 开 / 封 / 大 / 学 / 吗,开 / 封 / 大 / 学 / 好 / 吗
FP_误判为相似,狗吃什么补钙,吃什么补钙,0,1,0.5733,0.8349,0.8466,0.7995,0.8333,0.8333,False,False,狗 / 味道 / 什 / 么 / 补 / 钙,味道 / 什 / 么 / 补 / 钙
FP_误判为相似,吾加偏旁组成什么字？,仑加什么偏旁可以组成字,0,1,0.1874,0.5481,0.6788,0.0987,0.6667,0.2727,False,False,吾 / 加 / 偏 / 旁 / 组 / 成 / 什 / 么 / 字,仑 / 加 / 什 / 么 / 偏 / 旁 / 可 / 以 / 组 / 成 / 字
FP_误判为相似,表示时间慢的成语,表示时间烦的成语,0,1,0.3107,0.6916,0.7168,0.4475,0.7143,0.875,False,False,表示 / 时 / 间 / 慢 / 成 / 语,表示 / 时 / 间 / 烦 / 成 / 语
FP_误判为相似,精子什么颜色,狗的精子是什么颜色的,0,1,0.5019,0.7575,0.8674,0.3299,0.8571,0.6,False,False,精 / 子 / 什 / 么 / 颜 / 色,狗 / 精 / 子 / 什 / 么 / 颜 / 色
FP_误判为相似,家里跑来一只狗好不好,家里来了一只猫好不好,0,1,0.2124,0.2475,0.7327,0.1742,0.625,0.7,False,True,里 / 跑 / 来 / 只 / 狗 / 好 / 不 / 好,里 / 来 / 只 / 猫 / 好 / 不 / 好
FN_漏判相似,家里可以养乌龟吗,家里放乌龟好吗,1,0,0.0526,0.4001,0.4503,0.0923,0.4444,0.5,False,False,里 / 可 / 以 / 养 / 乌 / 龟 / 吗,里 / 放 / 乌 / 龟 / 好 / 吗
FP_误判为相似,石榴是什么时候成熟的？,成熟的石榴像什么？,0,1,0.196,0.5523,0.6735,0.2046,0.6667,0.1818,False,False,石 / 榴 / 什 / 么 / 时 / 候 / 成 / 熟,成 / 熟 / 石 / 榴 / 像 / 什 / 么
FP_误判为相似,神武手游天兵怎么加点,神武手游盘丝怎么加点,0,1,0.2423,0.6443,0.6694,0.4197,0.6667,0.8,False,False,神 / 武 / 手 / 游 / 天 / 兵 / 怎 / 么 / 加 / 点,神 / 武 / 手 / 游 / 盘 / 丝 / 怎 / 么 / 加 / 点
FN_漏判相似,如何在家自己做生日蛋糕上的奶油,如何在家里制作蛋糕上面的奶油,1,0,0.0586,0.4307,0.4414,0.2711,0.4375,0.6,False,False,如 / 何 / 自 / 己 / 完成 / 生 / 日 / 蛋 / 糕 / 上 / 奶 / 油,如 / 何 / 里 / 制 / 作 / 蛋 / 糕 / 上 / 面 / 奶 / 油
FP_误判为相似,为什么地下城进不去频道,为什么我家地下城进不去,0,1,0.4729,0.7547,0.8336,0.4646,0.8182,0.6364,False,False,为 / 什 / 么 / 地 / 下 / 城 / 进 / 不 / 去 / 频 / 道,为 / 什 / 么 / 地 / 下 / 城 / 进 / 不 / 去
FP_误判为相似,你好毒英语怎么说,你好用英语怎么说,0,1,0.362,0.7183,0.7523,0.4475,0.75,0.875,False,False,好 / 毒 / 英 / 语 / 怎 / 么 / 说,好 / 用 / 英 / 语 / 怎 / 么 / 说
FP_误判为相似,今年流行什么歌,今年流行穿什么？,0,1,0.3439,0.6953,0.7523,0.3779,0.75,0.75,False,False,今 / 年 / 流 / 行 / 什 / 么 / 歌,今 / 年 / 流 / 行 / 穿 / 什 / 么
FN_漏判相似,这个图片出于哪个动画？,这个图片是什么动画,1,0,0.0592,0.4258,0.4503,0.2337,0.4444,0.5455,False,False,图 / 片 / 出 / 于 / 哪 / 动 / 画,图 / 片 / 什 / 么 / 动 / 画
FP_误判为相似,看漫画哪个软件好,好的画漫画的软件,0,1,0.1808,0.5394,0.6702,0.0843,0.6667,0.25,False,False,看 / 漫 / 画 / 哪 / 程序 / 好,好 / 画 / 漫 / 画 / 程序
FN_漏判相似,一部鳄鱼电影,一部有关于鳄鱼的电影,1,0,0.0972,0.496,0.5797,0.1406,0.5,0.6,False,False,鳄 / 鱼 / 电影,有 / 关 / 于 / 鳄 / 鱼 / 电影
FP_误判为相似,聚视网的视频怎么下载,播视网视频怎么下载,0,1,0.4484,0.7609,0.835,0.4595,0.7778,0.8,False,False,聚 / 视 / 网 / 视 / 频 / 怎 / 么 / 下 / 载,播 / 视 / 网 / 视 / 频 / 怎 / 么 / 下 / 载
FP_误判为相似,手机版我的世界怎么玩生存,我的世界手机版生存怎么飞,0,1,0.3867,0.6733,0.802,0.3152,0.8,0.25,False,False,手机 / 版 / 世 / 界 / 怎 / 么 / 玩 / 生 / 存,世 / 界 / 手机 / 版 / 生 / 存 / 怎 / 么 / 飞
FP_误判为相似,脑筋急转弯，什么腿最长？,什么车最长(脑筋急转弯),0,1,0.414,0.669,0.82,0.3629,0.8182,0.0,False,False,脑 / 筋 / 急 / 转 / 弯 / 什 / 么 / 腿 / 最 / 长,什 / 么 / 车 / 最 / 长 / 脑 / 筋 / 急 / 转 / 弯
FP_误判为相似,双子座的男生喜欢什么样的女生,双子座的女生会喜欢什么样的男生,0,1,0.6612,0.8675,0.9317,0.6291,0.9091,0.8,False,False,双 / 子 / 座 / 男 / 生 / 喜欢 / 什 / 么 / 样 / 女 / 生,双 / 子 / 座 / 女 / 生 / 会 / 喜欢 / 什 / 么 / 样 / 男 / 生
FP_误判为相似,什么品种的鸽子长的大,这鸽子什么品种啊？,0,1,0.2006,0.5518,0.6735,0.2559,0.6667,0.1,False,False,什 / 么 / 品 / 种 / 鸽 / 子 / 长 / 大,鸽 / 子 / 什 / 么 / 品 / 种 / 啊
FN_漏判相似,淘宝元旦一般打折吗,元旦淘宝打折么？打几折？,1,0,0.1411,0.5166,0.635,0.1049,0.6,0.3333,False,False,淘 / 宝 / 元 / 旦 / 般 / 打 / 折 / 吗,元 / 旦 / 淘 / 宝 / 打 / 折 / 么 / 打 / 几 / 折
FP_误判为相似,五角星怎么打,五角星怎么折,0,1,0.3443,0.7162,0.7168,0.6392,0.7143,0.8333,False,False,五 / 角 / 星 / 怎 / 么 / 打,五 / 角 / 星 / 怎 / 么 / 折
FN_漏判相似,怎么更改微信头像,微信如何更改头像,1,0,0.1296,0.4963,0.603,0.1318,0.6,0.25,False,False,怎 / 么 / 更 / 改 / 微 / 信 / 头 / 像,微 / 信 / 如 / 何 / 更 / 改 / 头 / 像
