sentence_a,sentence_b,label
用一边也造句,用一边同时造句,0
找一张搞笑的图片！,求一张搞笑图片,1
红领巾像什么,红领巾脏了用什么洗,0
我的世界红石有什么用。,我的世界红石在哪,0
求这类头像！,求这类头像,1
有什么软件可以调节屏幕亮度,什么软件可以调节电脑屏幕亮度,1
最近有什么好看的搞笑的电影,最近有什么好看的电影搞笑的,1
爸爸别走的片尾曲是什么啊？,爸爸，去哪了主题曲叫什么,0
怀孕了能做头发吗？,怀孕前可以染头发吗,0
关于毛坦厂中学,毛坦厂中学，急,1
很抱歉的，建议您电话联系对方,您好。，建议您联系运营商咨询一下，小二不是很清楚,0
求三生三世枕上书的全文,求三生三世枕上书全文,1
求娱乐圈重生耽美文,求重生娱乐圈耽美文,1
用黄瓜片敷在脸上起什么作用,黄瓜片贴在脸上有什么作用,1
辛苦您提供下正确的身份证的后8位这边帮您核实下,辛苦您提供i下正确的身份证的后8位这边帮您核实下,1
馒头和包子的区别是什么？,包子和馒头的区别是什么？,1
关于描写鱼的好句,描写人又矮又瘦的好词好句,0
找一首中文歌,寻一首中文歌,1
揣摩的意思是什么,揣摩是什么意思？,1
今天高速还收费吗?,今天上高速收费吗？,1
安卓手机在哪里可以升级版本？,手机上可以玩侠盗飞车吗,0
朝霞不出门，晚霞行千里。是什么意思呢？,朝霞不出门晚霞行千里什么意思,1
寻80年代街头电子游戏厅里的游戏名称,以前电子游戏厅里都有什么麻将,0
橙光游戏什么？,橙光游戏是什么？,1
氩弧焊机的价格,氩弧焊机价格,1
上赶集网找工作,赶集网的要工作靠谱吗,0
优酷视频的密码怎么破解？,怎么破解优酷的视频密码,1
飞机头发型怎么剪,飞机头发型自己怎么抓？,0
天天酷跑下一个坐骑是什么？,天天酷跑，下一个坐骑是什么？,1
女如何炼腹肌视频,如何练腹肌视频,1
梦见自己喜欢的男生成佛了是什么意思？,我是男的，梦见自己喜欢猫，什么意思,0
属猴的和属鸡的能结婚吗,属鸡的可以和属虎的结婚吗？,0
黄冈烟草网上订货新商盟,新商盟烟草网上订货,0
没身份证怎么买火车票？,没身份证怎么买火车票,1
死飞自行车大概多少钱？,死飞自行车多少钱,1
怎样关闭新浪微博,新浪微博如何关闭？,1
求一部电影的名字,求一部电影的名字！,1
大姨妈是什么意思,你大姨妈来了是什么意思？,1
八仙的是什么,笑八仙指的是什么,0
亲，很抱歉，由于咨询量比较大，让您久等了。,您好，很抱歉，目前短信校验服务已经下线了,0
摩尔庄园糯米在哪里,摩尔庄园谁能帮我修复水系图腾？,0
时空猎人号被盗，怎么找回，官方版本的,我的时空猎人号被盗了，怎么找回,1
这是什么动漫人物,这是哪个动漫的人物？,1
怎么去跟喜欢的人聊天？,怎么跟喜欢的人聊天？,1
好看的动画片是什么,什么动画片最好看？,1
如何写小说赚钱？,怎样看小说赚钱,0
这张图片什么含义？,这张图片的含义,1
电脑我的世界,我的世界电脑版怎么玩,1
这个表情是什么系列？,这个系列表情叫什么,1
高数微积分求极限问题,微积分极限问题，求解答,0
这是什么电影的图,这图是什么电影的？,1
我的世界哪个地图有狼,我的世界里地图咋做,0
申请多伦多大学的条件是什么,多伦多大学读研的申请条件是什么,1
快手怎么上热门？,快手怎么上热门？泊宅式,1
微乐怎么加粉丝,微乐怎么加粉丝快,1
英雄联盟这是什么啊,这是英雄联盟的谁,1
